,NOC_CNP,NOC_Title,Titre_CNP,PROV,ER_Code_Code_RE,ER_Name_Nom_RE,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Data_Source_E,Data_Source_F,Reference_Period,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Wage_Comment_E,Wage_Comment_F,Year,Wage_Comment_F1
2940,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,NB,ER1330,Saint John--St. Stephen,18.89,32.69,49.52,34.52,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2941,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,NB,ER1340,Fredericton--Oromocto,13.75,32.69,62.5,34.73,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2942,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,NB,ER1350,Edmundston--Woodstock,16.15,35.0,67.31,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2943,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER24,QuÃ©bec,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2945,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2415,Bas-Saint-Laurent,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2946,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2420,Capitale-Nationale,16.5,33.68,55.38,35.64,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2947,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2425,ChaudiÃ¨re-Appalaches,18.13,25.0,72.12,37.16,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2948,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2430,Estrie,17.0,33.65,66.35,37.76,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2950,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2435,MontÃ©rÃ©gie,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2951,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2440,MontrÃ©al,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2952,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2445,Laval,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2953,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2450,LanaudiÃ¨re,18.97,36.06,60.1,38.98,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2954,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2455,Laurentides,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2955,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2460,Outaouais,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2956,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2465,Abitibi-TÃ©miscamingue,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2957,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2470,Mauricie,16.5,32.73,44.44,31.79,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2958,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2475,Saguenay--Lac-Saint-Jean,15.88,23.5,53.85,30.18,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2959,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2480,CÃ´te-Nord,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2960,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,QC,ER2490,Nord-du-QuÃ©bec,18.27,35.56,64.1,37.56,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2961,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER35,Ontario,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2962,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3510,Ottawa,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2963,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3515,Kingston--Pembroke,20.0,32.69,82.05,40.95,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2964,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3520,Muskoka--Kawarthas,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2965,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3530,Toronto,18.46,40.87,76.92,45.05,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2966,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3540,Kitchener--Waterloo--Barrie,20.0,42.67,72.12,43.0,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2967,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3550,Hamilton--Niagara Peninsula,20.43,36.54,71.79,40.27,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2968,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3560,London,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2969,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3570,Windsor--Sarnia,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2970,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3580,Stratford--Bruce Peninsula,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2971,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3590,Northeast,17.21,34.29,72.12,41.9,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2972,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,ON,ER3595,Northwest,18.5,37.98,72.12,42.12,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2973,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER46,Manitoba,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2974,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4610,Southeast,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2975,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4620,South Central,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2976,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4630,Southwest,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2977,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4640,North Central,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2978,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4650,Winnipeg,17.05,33.63,60.1,36.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2979,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4660,Interlake,23.08,36.06,72.12,42.82,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2980,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4670,Parklands,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2981,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,MB,ER4680,North,18.0,34.13,62.5,37.78,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2982,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,SK,ER47,Saskatchewan,20.19,36.92,67.19,41.16,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2983,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,SK,ER4710,Regina--Moose Mountain,20.19,41.03,67.19,43.23,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2984,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,SK,ER4720,Swift Current--Moose Jaw,20.19,36.92,67.19,41.16,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2985,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,SK,ER4730,Saskatoon--Biggar,21.0,33.23,62.5,38.15,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2987,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,SK,ER4750,Prince Albert,20.19,36.92,67.19,41.16,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2989,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER48,Alberta,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2990,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4810,Lethbridge--Medicine Hat,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2991,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4820,Camrose--Drumheller,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2992,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4830,Calgary,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2994,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4850,Red Deer,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2995,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4860,Edmonton,20.0,39.38,59.6,42.41,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2996,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4870,Athabasca--Grande Prairie--Peace River,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2997,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,AB,ER4880,Wood Buffalo--Cold Lake,20.63,36.92,75.0,42.47,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2998,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER59,British Columbia,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
2999,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5910,Vancouver Island and Coast,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3000,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5920,Lower Mainland,18.0,30.0,64.9,35.96,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3001,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5930,Thompson--Okanagan,18.0,31.25,67.31,37.48,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3002,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5940,Kootenay,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3003,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5950,Cariboo,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3004,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5960,North Coast,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3005,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,BC,ER5970,Nechako,18.0,31.25,64.9,36.54,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3007,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,YK,ER6010,Yukon Territory,15.7,25.01,66.4,32.39,2016 Census,Recensement 2016,2016,2022-11-16,0,,,2018,
3008,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,NW,ER6110,Northwest Territories,15.2,32.84,65.63,36.52,2016 Census,Recensement 2016,2016,2022-11-16,0,,,2018,
3009,NOC_0621,retail and wholesale trade managers,Directeurs/directrices - commerce de dÃ©tail et de gros,NU,ER6210,Nunavut,16.0,25.4,45.77,28.64,2016 Census,Recensement 2016,2016,2022-11-16,0,,,2018,
3010,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,,ER00,National,15.0,21.75,38.46,25.44,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3011,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NL,ER10,Newfoundland and Labrador,14.0,20.44,41.83,24.13,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3012,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NL,ER1010,Avalon Peninsula,14.0,20.44,41.83,24.13,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3014,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NL,ER1030,West Coast--Northern Peninsula--Labrador,14.0,20.44,41.83,24.13,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3015,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NL,ER1040,Notre Dame--Central Bonavista Bay,14.0,20.44,41.83,24.13,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3016,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,PE,ER1110,Prince Edward Island,15.0,22.6,50.48,25.8,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3017,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NS,ER12,Nova Scotia,13.6,15.4,29.81,18.84,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3018,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NS,ER1210,Cape Breton,13.6,15.4,29.81,18.84,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3019,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NS,ER1220,North Shore,13.6,15.4,29.81,18.84,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3021,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NS,ER1240,Southern,13.6,15.4,29.81,18.84,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3022,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NS,ER1250,Halifax,14.0,15.15,27.15,17.15,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3023,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER13,New Brunswick,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3024,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER1310,Campbellton--Miramichi,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3025,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER1320,Moncton--Richibucto,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3026,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER1330,Saint John--St. Stephen,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3027,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER1340,Fredericton--Oromocto,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3028,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,NB,ER1350,Edmundston--Woodstock,15.0,19.23,24.52,20.5,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3029,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER24,QuÃ©bec,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3030,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2410,GaspÃ©sie--Ãles-de-la-Madeleine,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3031,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2415,Bas-Saint-Laurent,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3032,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2420,Capitale-Nationale,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3033,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2425,ChaudiÃ¨re-Appalaches,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3034,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2430,Estrie,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3035,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2433,Centre-du-QuÃ©bec,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3036,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2435,MontÃ©rÃ©gie,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3037,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2440,MontrÃ©al,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3038,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2445,Laval,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3039,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2450,LanaudiÃ¨re,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3040,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2455,Laurentides,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3041,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2460,Outaouais,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
3042,NOC_0631,restaurant and food service managers,Directeurs/directrices de la restauration et des services alimentaires,QC,ER2465,Abitibi-TÃ©miscamingue,16.0,23.5,38.46,26.35,Labour Force Survey,EnquÃªte sur la population active,2020-2021,2022-11-16,0,,,2018,
